method,path_norm,sources,occurrences
,/api/spotify/callback,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/spotify/devices,"['api/docs/reference/full_api_reference.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-api-endpoints-completion-report.md']",4
,/api/spotify/login,"['api/docs/reference/full_api_reference.md', 'gonk-testUI/static/app.js', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",5
,/api/spotify/me,"['api/docs/reference/full_api_reference.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-api-endpoints-completion-report.md', 'project/reports/20250809-phase5-endpoint-refactor-report.md']",5
,/api/spotify/metadata/3n3Ppam7vgaVa1iaRUc9Lp,['api/docs/reference/full_api_reference.md'],1
,/api/spotify/metadata/{track_id},['project/reports/20250809-phase5-search-cleanup-report.md'],1
,/api/spotify/playlists,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-playlist-implementation-report.md']",5
,/api/spotify/playlists/abc123,['api/docs/reference/full_api_reference.md'],1
,/api/spotify/playlists/abc123/metadata,['api/docs/reference/full_api_reference.md'],1
,/api/spotify/playlists/abc123/sync,['api/docs/reference/full_api_reference.md'],1
,/api/spotify/playlists/abc123/tracks,['api/docs/reference/full_api_reference.md'],1
,/api/spotify/playlists/{id},"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/spotify/playlists/{id}/tracks,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/spotify/sync_playlists,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-phase5-final-cleanup-report.md']",5
,/api/spotify/token_status,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/src/zotify_api,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/auth_state,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/config,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/database,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/globals,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/logging_config,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/main,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/middleware,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/middleware/request_id,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/models,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/models/config,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/models/spotify,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/models/sync,['project/audit/AUDIT-phase-1.md'],1
